bar_id,condition,seed,sequence_len,plddt,status,song,iconicity
bar_0,concordance,42,88,0.311246,ok,Super Freaky Girl (Queen Mix),0.9938
bar_0,concordance,43,88,0.314969,ok,Super Freaky Girl (Queen Mix),0.9938
bar_0,concordance,44,88,0.299470,ok,Super Freaky Girl (Queen Mix),0.9938
bar_0,concordance,45,88,0.306848,ok,Super Freaky Girl (Queen Mix),0.9938
bar_0,concordance,46,88,0.279905,ok,Super Freaky Girl (Queen Mix),0.9938
bar_0,concordance,47,88,0.328580,ok,Super Freaky Girl (Queen Mix),0.9938
bar_0,concordance,48,88,0.308266,ok,Super Freaky Girl (Queen Mix),0.9938
bar_0,concordance,49,88,0.327597,ok,Super Freaky Girl (Queen Mix),0.9938
bar_0,concordance,50,88,0.311191,ok,Super Freaky Girl (Queen Mix),0.9938
bar_0,concordance,51,88,0.333730,ok,Super Freaky Girl (Queen Mix),0.9938
bar_0,concordance,52,88,0.292394,ok,Super Freaky Girl (Queen Mix),0.9938
bar_0,concordance,53,88,0.322315,ok,Super Freaky Girl (Queen Mix),0.9938
bar_0,concordance,54,88,0.287245,ok,Super Freaky Girl (Queen Mix),0.9938
bar_0,concordance,55,88,0.327152,ok,Super Freaky Girl (Queen Mix),0.9938
bar_0,concordance,56,88,,failed,Super Freaky Girl (Queen Mix),0.9938
bar_1,concordance,42,92,0.318261,ok,Changed It,0.9365
bar_1,concordance,43,92,0.305813,ok,Changed It,0.9365
bar_1,concordance,44,92,0.337168,ok,Changed It,0.9365
bar_1,concordance,45,92,0.316281,ok,Changed It,0.9365
bar_1,concordance,46,92,0.330385,ok,Changed It,0.9365
bar_1,concordance,47,92,0.354623,ok,Changed It,0.9365
bar_1,concordance,48,92,0.313556,ok,Changed It,0.9365
bar_1,concordance,49,92,0.344783,ok,Changed It,0.9365
bar_1,concordance,50,92,0.375881,ok,Changed It,0.9365
bar_1,concordance,51,92,0.329481,ok,Changed It,0.9365
bar_1,concordance,52,92,0.343982,ok,Changed It,0.9365
bar_1,concordance,53,92,0.320120,ok,Changed It,0.9365
bar_1,concordance,54,92,0.308254,ok,Changed It,0.9365
bar_1,concordance,55,92,0.321738,ok,Changed It,0.9365
bar_1,concordance,56,92,0.321145,ok,Changed It,0.9365
bar_2,concordance,42,95,0.331937,ok,Fly,0.9158
bar_2,concordance,43,95,0.385714,ok,Fly,0.9158
bar_2,concordance,44,95,0.342103,ok,Fly,0.9158
bar_2,concordance,45,95,0.334242,ok,Fly,0.9158
bar_2,concordance,46,95,0.374634,ok,Fly,0.9158
bar_2,concordance,47,95,0.333953,ok,Fly,0.9158
bar_2,concordance,48,95,0.351809,ok,Fly,0.9158
bar_2,concordance,49,95,0.359554,ok,Fly,0.9158
bar_2,concordance,50,95,0.346040,ok,Fly,0.9158
bar_2,concordance,51,95,0.412460,ok,Fly,0.9158
bar_2,concordance,52,95,0.374964,ok,Fly,0.9158
bar_2,concordance,53,95,0.379765,ok,Fly,0.9158
bar_2,concordance,54,95,0.361315,ok,Fly,0.9158
bar_2,concordance,55,95,0.377812,ok,Fly,0.9158
bar_2,concordance,56,95,0.371994,ok,Fly,0.9158
bar_3,concordance,42,84,0.301466,ok,I Lied,0.8298
bar_3,concordance,43,84,0.369858,ok,I Lied,0.8298
bar_3,concordance,44,84,0.339387,ok,I Lied,0.8298
bar_3,concordance,45,84,0.345611,ok,I Lied,0.8298
bar_3,concordance,46,84,0.320397,ok,I Lied,0.8298
bar_3,concordance,47,84,0.349891,ok,I Lied,0.8298
bar_3,concordance,48,84,0.356555,ok,I Lied,0.8298
bar_3,concordance,49,84,0.381262,ok,I Lied,0.8298
bar_3,concordance,50,84,0.321978,ok,I Lied,0.8298
bar_3,concordance,51,84,0.408485,ok,I Lied,0.8298
bar_3,concordance,52,84,0.329764,ok,I Lied,0.8298
bar_3,concordance,53,84,0.338634,ok,I Lied,0.8298
bar_3,concordance,54,84,0.345048,ok,I Lied,0.8298
bar_3,concordance,55,84,0.352345,ok,I Lied,0.8298
bar_3,concordance,56,84,0.345906,ok,I Lied,0.8298
bar_4,concordance,42,81,0.379564,ok,Fallin 4 U,0.7564
bar_4,concordance,43,81,0.306164,ok,Fallin 4 U,0.7564
bar_4,concordance,44,81,0.300333,ok,Fallin 4 U,0.7564
bar_4,concordance,45,81,0.356704,ok,Fallin 4 U,0.7564
bar_4,concordance,46,81,0.301234,ok,Fallin 4 U,0.7564
bar_4,concordance,47,81,0.327468,ok,Fallin 4 U,0.7564
bar_4,concordance,48,81,0.317818,ok,Fallin 4 U,0.7564
bar_4,concordance,49,81,0.271857,ok,Fallin 4 U,0.7564
bar_4,concordance,50,81,0.337750,ok,Fallin 4 U,0.7564
bar_4,concordance,51,81,0.340209,ok,Fallin 4 U,0.7564
bar_4,concordance,52,81,0.295899,ok,Fallin 4 U,0.7564
