bar_id,canonical_bar,song,attribution,iconicity,seq_len,n_models,best_model,plddt_mean,plddt_sd,plddt_best,ptm_mean,ptm_sd,ptm_best,confidence_mean,confidence_best,structural_class
bar_0,"I told him it’s no friends in the game
You ain’t learn that yet?
All them bridges you came over
Don’t burn that yet",Super Freaky Girl (Queen Mix),primary,0.9938,88,5,0,0.409652,0.007243,0.418501,0.269914,0.025041,0.300098,0.381705,0.393500,disordered
bar_1,"No, you can't bone it, n*ga, ain't no Lisa here
She gon' dread dissin' Nicki like Lisa hair
I buy, lil n*ga, ain't no leaser here",Changed It,primary,0.9365,92,5,0,0.401533,0.011658,0.415125,0.272362,0.015466,0.292065,0.375699,0.386865,disordered
bar_10,"It was back in '07, did a couple of tapes. Did a couple DVDs, made a couple mistakes. Didn't know what I was doing, but I put on a cape. Now it's, ""Which world tour should I go on today?",I’m The Best,primary,0.6889,133,5,0,0.348583,0.002651,0.352602,0.225256,0.002512,0.229345,0.323918,0.327950,disordered
bar_11,"When they go against the kid it's gon cost for real
Came straight from the hood with the cross appeal
That's why these big names wanna toss the deal",Hell Yeah,primary,0.5856,118,5,0,0.467440,0.013198,0.481154,0.481299,0.077876,0.626061,0.470212,0.482394,uncertain_protein_like
bar_12,"I left my shades in Atlanta so I told my pilot to stop the plane… He busts a U in the air… She say she doing it, WHERE?",Realize,featured,0.5855,88,5,0,0.395333,0.020178,0.417641,0.231005,0.018440,0.248379,0.362467,0.383672,disordered
bar_13,I TRIED TO CHANNEL YOU IN HOPES THAT I MAY STEER YOU BACK BUT ITS LIKE EVERY INTERSECTION WE JUST MISS EACHOTHA,Dear Old Nicki,primary,0.5771,90,5,0,0.452911,0.008692,0.467353,0.370237,0.011946,0.384791,0.436376,0.447125,disordered
bar_14,"I never thought you would end up as the enemy I always thought you'd be right here, still defending me I feel so bad for you, lost your identity Made your decision, there's a penalty",Just The Memories,primary,0.5683,143,5,0,0.316192,0.003087,0.319857,0.244949,0.043934,0.329385,0.301944,0.321762,disordered
bar_15,"I can't fall for you, can't give my all to you Can't let you think that I'ma let the game stall for you Gotta protect me, you gotta sweat me You said you thought you was ready, and I said, Let's see",I Lied,primary,0.551,148,5,0,0.305435,0.011446,0.318146,0.190085,0.017049,0.222808,0.282365,0.291408,disordered
bar_16,"hear them mumblin', I hear the cacklin'
I got 'em scared, shook, panickin'
Overseas, church, Vatican
You at a stand still, mannequin",Roman’s Revenge (Remix),primary,0.5477,101,5,0,0.452676,0.009002,0.463126,0.317754,0.010280,0.331978,0.425692,0.436897,disordered
bar_17,"First things first, all my girls, know your worth
Self-love is the greatest love on Earth
Cry your eyes out, get it out, it's the worst
But love don't hurt, no",Love Me Enough,primary,0.4828,121,5,0,0.507332,0.003161,0.511544,0.414575,0.010314,0.431503,0.488780,0.492900,uncertain_protein_like
